anime_id,Name,Score,Genres,Type,Episodes,Aired,Source,Rank,Popularity,Members
87,Ou Dorobou Jing,7.19,"Adventure, Comedy, Fantasy, Sci-Fi",TV,13,2002,Manga,3109,3440,36942
88,Ou Dorobou Jing in Seventh Heaven,7.25,"Adventure, Comedy, Fantasy",OVA,3,2004,Manga,2793,5457,12873
89,Bakuretsu Tenshi,6.79,"Adventure, Comedy, Sci-Fi",TV,24,2004,Original,4892,2435,69227
90,Chuuka Ichiban!,7.58,"Action, Comedy, Drama, Gourmet",TV,52,1997,Manga,1432,4649,19292
91,Corrector Yui,6.97,"Adventure, Comedy, Sci-Fi",TV,52,1999,Original,4110,5031,15804
92,Chou Henshin Cosprayers,4.82,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",TV,8,2004,Original,12171,6433,8567
93,Uchuu no Stellvia,7.37,"Action, Romance, Sci-Fi",TV,26,2003,Original,2176,4220,24116
94,Sakigake!! Cromartie Koukou,7.9,Comedy,TV,26,2003,Manga,722,1549,134468
95,El Hazard: The Alternative World,6.79,"Adventure, Comedy, Fantasy",TV,13,1998,Original,4906,5731,11370
96,El Hazard: The Wanderers,6.93,"Adventure, Comedy, Fantasy, Romance",TV,26,1995,Original,4257,4846,17489
97,El Hazard: The Magnificent World,7.26,"Adventure, Comedy, Fantasy, Romance",OVA,7,1995,Original,2720,4693,18867
98,El Hazard 2: The Magnificent World,6.78,"Adventure, Comedy, Fantasy",OVA,4,1997,Original,4926,6314,9011
99,Final Approach,6.52,"Comedy, Drama, Romance",TV,13,2004,Visual novel,6278,3525,35110
